,Availability,Categories,Featured,Filter Shop,Filterplayers,Game Character,Game Discription,Game Title,Game url,General Filters,No of Players,Object ID,Virtual Console,free to start,slug
33,'Available now',"'Action', 'Fighting', 'Multiplayer'",True,"'At retail', 'On Nintendo.com'","'4+', '3+', '2+', '1+'",'Mario',"With the Super Smash Bros. ™ Ultimate Special Edition, you will receive a Super Smash Bros. Ultimate game in a steel case, and a Super Smash Bros. Ultimate Edition Nintendo Switch™ Pro Controller to take down your friends in style!
Gaming icons clash in the ultimate brawl you can play anytime, anywhere! Smash rivals off the stage as new characters Simon Belmont and King K. Rool join Inkling, Ridley, and every fighter in Super Smash Bros. history. Enjoy enhanced speed and combat at new stages based on the Castlevania series, Super Mario Odyssey, and more!
Having trouble choosing a stage? Then select the Stage Morph option to transform one stage into another while battling—a series first! Plus, new echo fighters Dark Samus, Richter Belmont, and Chrom join the battle. Whether you play locally or online, savor the faster combat, new attacks, and new defensive options, like a perfect shield. Jam out to 900 different music compositions and go 1-on-1 with a friend, hold a 4-player free-for-all, kick it up to 8-player battles and more! Feel free to bust out your GameCube controllers—legendary couch competitions await—or play together anytime, anywhere!",Super Smash Bros. Ultimate Special Edition,/games/detail/super-smash-bros-ultimate-special-edition-switch,"'DLC available', 'Online Play via Nintendo Switch Online'",up to 8 players,25db9414-8640-323b-b691-8dd80ab19fb9,na,False,super-smash-bros-ultimate-special-edition-switch
34,'Available now',"'Adventure', 'Role-Playing', 'Multiplayer'",True,"'At retail', 'On Nintendo.com'",'1+','Pokémon',"Feel like a real Pokémon Trainer as you travel through the Kanto region in the Pokémon™: Let’s Go, Pikachu! or Pokémon™: Let’s Go, Eevee! games with Poké Ball™ Plus. The power of a Pokémon Trainer lies in the palm of your hand.
Download the game demo for free! Hello new Pokémon Trainers, a demo of Pokémon: Let's Go, Pikachu! and Pokémon: Let's Go, Eevee! games is available just for you. Explore Viridian Forest, where you can catch Pokémon in the wild and battle trainers with either a partner Pikachu or a partner Eevee at your side (randomly selected). Start your journey now.
* Final game content may vary from this demo.
* Demo game data cannot be transferred to the purchased game.
Become the best Pokémon Trainer as you battle other Trainers, Gym Leaders, and the sinister Team Rocket. Catch Pokémon in the wild using a gentle throwing motion with either a Joy-Con™ controller or a Poké Ball™ Plus accessory, which will light up, vibrate, and make sounds to bring your adventure to life. You can also use button controls in Handheld Mode. Share your adventure with family or friends using a second Joy-Con or Poké Ball Plus (sold separately). You can even connect to the Pokémon™ GO app* using a compatible smartphone to bring over Pokémon originally discovered in the Kanto region!
Explore the vibrant region of Kanto—home to beloved characters like Brock, Misty, and the nefarious trio Jessie, James, and Meowth! Throughout the story, your bond with your partner Pokémon grows stronger as you care for it and travel together. See the world in style by customizing Pikachu and your Trainer with a selection of outfits. True-to-size wild Pokémon roam around in the game—catch them like a real Pokémon Trainer by using timing and a well-placed Poké Ball™. Battle and trade with other players who own the game via local wireless or online**. Go on a stroll with your favorite Pokémon in your Poké Ball Plus to level them up, and to receive in-game rewards after returning them to the game. Connect to Pokémon GO* to transfer caught Kanto-region Pokémon, including Alolan and Shiny forms, as well as the newly discovered Pokémon, Meltan, from that game to this one!

Become the best Pokémon Trainer on an adventure with Pikachu!
Encounter Pokémon™ in the Kanto region and beloved characters like Brock and Misty as you foil the plans of Jesse, James, Meowth, and the rest of Team Rocket
Play the entire game in Handheld Mode, with a single Joy-Con™ controller, or the Poké Ball™ Plus accessory which will light up, vibrate, and make sounds to bring your adventure to life
Take your Pokémon for a stroll in Poké Ball™ Plus to level them up, and to receive in-game rewards after returning them to the game.
Gently shake Poké Ball™ Plus to hear a Pokémon that has been put inside from Pokémon™: Let's Go, Pikachu! or Pokémon™: Let's Go, Eevee!
Every Poké Ball™ Plus contains your very own Mythical Pokémon Mew!**
Share a Pokémon adventure together anytime, anywhere on one system by using another Joy-Con™ controller or Poké Ball™ Plus accessory (sold separately) to catch and battle alongside another player!
Connect with the Pokémon™ GO* app on compatible smartphones to transfer caught Kanto-region Pokémon, including Alolan and Shiny forms, as well as the newly discovered Pokémon, Meltan!
Connect Poké Ball™ Plus to the Pokémon™ GO*** app to catch Pokémon in the real world and gather items from Poké Stops without viewing your smartphone screen—while carrying a Pokémon from the Pokémon™: Let's Go, Pikachu! or Pokémon™: Let's Go, Eevee! games
Battle and trade with other players who own the game via local wireless or online**
Other online features include Mystery Gifts**","Pokémon: Let's Go, Pikachu!",/games/detail/pokemon-lets-go-pikachu-switch,"'Demo available', 'Online Play via Nintendo Switch Online', 'Nintendo Switch Game Voucher'",up to 2 players,e6a4e168-363a-374c-8079-9faba89e339d,na,False,pokemon-lets-go-pikachu-switch
35,'Available now',"'Adventure', 'Role-Playing', 'Multiplayer'",True,"'At retail', 'On Nintendo.com'",'1+','Pokémon',"Feel like a real Pokémon Trainer as you travel through the Kanto region in the Pokémon™: Let’s Go, Pikachu! or Pokémon™: Let’s Go, Eevee! games with Poké Ball™ Plus. The power of a Pokémon Trainer lies in the palm of your hand.
Download the game demo for free! Hello new Pokémon Trainers, a demo of Pokémon: Let's Go, Pikachu! and Pokémon: Let's Go, Eevee! games is available just for you. Explore Viridian Forest, where you can catch Pokémon in the wild and battle trainers with either a partner Pikachu or a partner Eevee at your side (randomly selected). Start your journey now.
* Final game content may vary from this demo.
* Demo game data cannot be transferred to the purchased game.
Become the best Pokémon Trainer as you battle other Trainers, Gym Leaders, and the sinister Team Rocket. Catch Pokémon in the wild using a gentle throwing motion with either a Joy-Con™ controller or a Poké Ball™ Plus accessory, which will light up, vibrate, and make sounds to bring your adventure to life. You can also use button controls in Handheld Mode. Share your adventure with family or friends using a second Joy-Con or Poké Ball Plus (sold separately). You can even connect to the Pokémon™ GO app* using a compatible smartphone to bring over Pokémon originally discovered in the Kanto region!
Explore the vibrant region of Kanto—home to beloved characters like Brock, Misty, and the nefarious trio Jessie, James, and Meowth! Throughout the story, your bond with your partner Pokémon grows stronger as you care for it and travel together. See the world in style by customizing Eevee and your Trainer with a selection of outfits. True-to-size wild Pokémon roam around in the game—catch them like a real Pokémon Trainer by using timing and a well-placed Poké Ball™. Battle and trade with other players who own the game via local wireless or online**. Go on a stroll with your favorite Pokémon in your Poké Ball Plus to level them up, and to receive in-game rewards after returning them to the game. Connect to Pokémon GO* to transfer caught Kanto-region Pokémon, including Alolan and Shiny forms, as well as the newly discovered Pokémon, Meltan, from that game to this one!

Become the best Pokémon Trainer on an adventure with Eevee!
Encounter Pokémon™ in the Kanto region and beloved characters like Brock and Misty as you foil the plans of Jesse, James, Meowth, and the rest of Team Rocket
Play the entire game in Handheld Mode, with a single Joy-Con™ controller, or the Poké Ball™ Plus accessory which will light up, vibrate, and make sounds to bring your adventure to life
Take your Pokémon for a stroll in Poké Ball™ Plus to level them up, and to receive in-game rewards after returning them to the game.
Gently shake Poké Ball™ Plus to hear a Pokémon that has been put inside from Pokémon™: Let's Go, Pikachu! or Pokémon™: Let's Go, Eevee!
Every Poké Ball™ Plus contains your very own Mythical Pokémon Mew!**
Share a Pokémon adventure together anytime, anywhere on one system by using another Joy-Con™ controller or Poké Ball™ Plus accessory (sold separately) to catch and battle alongside another player!
Connect with the Pokémon™ GO* app on compatible smartphones to transfer caught Kanto-region Pokémon, including Alolan and Shiny forms, as well as the newly discovered Pokémon, Meltan!
Connect Poké Ball™ Plus to the Pokémon™ GO*** app to catch Pokémon in the real world and gather items from Poké Stops without viewing your smartphone screen—while carrying a Pokémon from the Pokémon™: Let's Go, Pikachu! or Pokémon™: Let's Go, Eevee! games
Battle and trade with other players who own the game via local wireless or online**
Other online features include Mystery Gifts**","Pokémon: Let's Go, Eevee!",/games/detail/pokemon-lets-go-eevee-switch,"'Demo available', 'Online Play via Nintendo Switch Online', 'Nintendo Switch Game Voucher'",up to 2 players,687a68d1-b33d-3843-ae8e-934c24c6b509,na,False,pokemon-lets-go-eevee-switch
36,'Available now',"'Party', 'Multiplayer'",True,'At retail',"'3+', '2+', '1+'",'Mario',"Includes the Super Mario Party game and a pair of Neon Green/Neon Yellow Joy-Con.
The original 4-player Mario Party series board game mode that fans love is back, and your friends and family are invited to the party! Freely walk the board: choose where to move, which Dice Block to roll, and how to win the most Stars in skill-based minigames. Wait till you see the 2 vs 2 mode with grid-based maps, the creative uses of the console, and the series’ first online minigame mode!
Test your skills in sets of five minigames with the new mode, Mariothon, and see how you stack up against players across the globe in Online Mariothon*. Whether you’re pedaling tricycles, flipping meat, or who knows what else, you’ll use Joy-Con™ controllers in clever ways across 80 new minigames; some are all-out free-for-alls, others are 2 vs 2, or even 1 vs 3! Toad’s Rec Room lets you pair up two Nintendo Switch™ systems**, which you’ll lay side-by-side on a flat surface like a real tabletop game. That way you can play a mini baseball game, battle tanks in custom arenas, or even see who can match the most bananas by repositioning the systems however you see fit!",Super Mario Party Bundle,/games/detail/super-mario-party-bundle-switch,'Online Play via Nintendo Switch Online',up to 4 players,5ef4a23b-2696-3941-89ff-4a4741ae60b1,na,False,super-mario-party-bundle-switch
37,'Available now',"'Action', 'Adventure', 'Multiplayer'",True,'At retail',"'4+', '3+', '2+', '1+'",,"Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning detail. DARK SOULS: REMASTERED includes the main game plus the Artorias of the Abyss DLC.
Deep and Dark Universe
Delve into an epic dark fantasy universe stricken by decline and the Curse. Explore its intricate world design - full of hidden passages, dungeons and secrets - and uncover its deeply rooted lore.
Each End is a New Beginning
Each playthrough surprises you with new challenges and unexpected facets of the game. Don’t bet on completing the game only once.
Gameplay Richness and Possibilities
Hundreds of unique combinations of weaponry, armor, magic and crafting options to create your own playstyle and gaming experience.
Sense of Learning, Mastering and Accomplishment
From your first steps to mastery, build your character while refining you playing skills. Learn to strategize freely and experience the rewarding taste of overcoming daunting foes.
The Way of the Multiplayer (up to 6 players with dedicated servers)
Whatever your motivations are to play online – collaboration or confrontation, support or betrayal – you’ll find your true home among the nine covenants. Which allegiance will you choose?",DARK SOULS&#8482;: REMASTERED,/games/detail/dark-souls-remastered-switch,'Online Play via Nintendo Switch Online',up to 6 players,be1cdc55-bc62-3e8a-92cb-43f803b564e6,na,False,dark-souls-remastered-switch
38,'Available now',"'Action', 'Adventure'",True,'At retail','1+','Mario',"G-g-ghosts! Time to suck those suckers up because Luigi is back in the first portable version of this spooky classic. After winning a mansion in a contest he didn’t enter, he must beat its many bosses and puzzles. Follow a map on the touchscreen, shine a flashlight, blow fire, shoot water, stun ghosts, and trap them…before Mario is trapped forever! All this ghost-catching tomfoolery pays off! As you suck ‘em up with your Poltergust 3000, you could also rake in millions in hidden, in-game riches for our hard-luck hero. Make sure to search every area using the Game Boy Horror’s map on your touchscreen and activate its Boo Radar to track down every Boo in the mansion or spot ghosts’ weak points. After beating and capturing boss ghosts, you can select their portraits from the gallery to best your own score in tense rematches—a new feature in the Nintendo 3DS version!",Luigi's Mansion,/games/detail/luigis-mansion-3ds,,up to 2 players,7f72023e-aafa-3843-8507-aadcfb6b26c7,na,False,luigis-mansion-3ds
39,'Available now','Role-Playing',True,"'At retail', 'On Nintendo.com'",'1+',,"Complete the mission...or face erasure. That's all Neku knows after regaining consciousness in the middle of a busy intersection without his memories. Now he and his partner must fight to survive a life-or-death game in this twisted tale with more turns than the urban labyrinth of Tokyo they're trapped in. This definitive version of Square Enix's RPG classic brings the dark story to life on the Nintendo Switch system along with an extra chapter, exclusive two-player combat, and some killer, new remixed music.
In the crowded chaos of Tokyo, players of the Reapers' Game must complete daily missions or face total erasure. Neku might not be enthusiastic about forging relationships, but with his very life on the line, he'll need to learn how to work together with a partner—and fast: they only have seven days. Gear up with stat-enhancing threads and collect mysterious pins to unleash psychic abilities in battle. Take control of real-time, action-fueled RPG battles using touch controls or Joy-Con™ controllers. With new features in addition to all the content from the Nintendo DS and mobile versions, the definitive version of this modern classic is finally here.",The World Ends with You: Final Remix,/games/detail/the-world-ends-with-you-final-remix-switch,"'Online Play via Nintendo Switch Online', 'Nintendo Switch Game Voucher'",up to 2 players,01a062e7-2cf3-3855-a51b-2dc4dd38195e,na,False,the-world-ends-with-you-final-remix-switch
40,'Available now',"'Party', 'Multiplayer'",True,"'At retail', 'On Nintendo.com'","'3+', '2+', '1+'",'Mario',"The original 4-player Mario Party series board game mode that fans love is back, and your friends and family are invited to the party! Freely walk the board: choose where to move, which Dice Block to roll, and how to win the most Stars in skill-based minigames. Wait till you see the 2 vs 2 mode with grid-based maps, the creative uses of the console, and the series’ first online minigame mode!
Test your skills in sets of five minigames with the new mode, Mariothon, and see how you stack up against players across the globe in Online Mariothon*. Whether you’re pedaling tricycles, flipping meat, or who knows what else, you’ll use Joy-Con™ controllers in clever ways across 80 new minigames; some are all-out free-for-alls, others are 2 vs 2, or even 1 vs 3! Toad’s Rec Room lets you pair up two Nintendo Switch™ systems**, which you’ll lay side-by-side on a flat surface like a real tabletop game. That way you can play a mini baseball game, battle tanks in custom arenas, or even see who can match the most bananas by repositioning the systems however you see fit!",Super Mario Party,/games/detail/super-mario-party-switch,"'Online Play via Nintendo Switch Online', 'Nintendo Switch Game Voucher'",up to 4 players,3b772017-0779-3aa1-8b1d-f251d50a787e,na,False,super-mario-party-switch
41,'Available now',"'Action', 'Role-Playing'",True,,,,"Get ready to start playing on 9/27. Release is planned for the following countries/regions: Japan, Taiwan, Hong Kong, Macau, and United States.
An action RPG forged by humans and dragons
Dragalia Lost is a swipe-controlled action RPG about the bonds shared between humans and dragons. Conquer your enemies using an array of powerful attacks and special skills and even by transforming into a dragon yourself!
A tale of heroes, legends, and allies, together
Over 60 voiced characters are ready and waiting to aid your quest!
Music by DAOKO
Dragalia Lost features music by the Japanese artist DAOKO. Her captivating musical score enhances the upbeat gaming experience!",Dragalia Lost,/games/detail/dragalia-lost-android,,1 player,e4ab4e39-0e8a-32d6-baea-48ca93ff4939,na,True,dragalia-lost-android
42,'Available now',"'Action', 'Multiplayer'",True,'At retail',"'4+', '3+', '2+', '1+'",,"This Starter Pack is perfect for first-time Inklings; it contains the game, a detailed strategy guide which will help equip you with the knowledge you’ll need to become the freshest squid on the battlefield.
For the first time, take Turf War battles on-the-go with the Nintendo Switch™ system, and use any of the console's portable play styles for intense local multiplayer* action. Even team up for new 4-player co-op fun in Salmon Run!
Two years have passed since the original Splatoon™ game was released, and two years have also passed in Inkopolis! So expect a fresh wave of fashion, not to mention new weapons and gear. Dual wield the new Splat Dualies or stick to mainstays like chargers and rollers, which have been remixed with new strategic possibilities. As always, Turf War is the favored sport among Inklings, but they also dig ranked battles, taking down Octarians in a robust single-player campaign, and battling enemy Salmonids in one dangerous part-time job! No matter which way you play, splat at home or on-the-go with Nintendo Switch. Staying fresh never felt so good.

Turf War - Team up in fierce 4-on-4 multiplayer battles* to see which team can cover the most turf with ink
Salmon Run – 2-4 players* can team up for co-op fun and defeat waves of enemy Salmonids.
New weapons – Dual wield the new Splat Dualies and avoid getting splatted with the new Dodge Roll move. Mainstays like the Splat Roller and Splat Charger have been remixed to include new gameplay mechanics, and all special weapons are brand-new.
Local and Online Multiplayer - In a first for the series, compete in local multiplayer Turf War battles*, whether in TV mode or on-the-go in handheld or tabletop modes. Online battles also make a return**
New ways to play – Play with the Joy-Con™ controllers or the Nintendo Switch™ Pro Controller (sold separately), both of which support motion controls for better aiming
Fresh Updates - Similar to the Splatoon™ game for the Wii U™ console, updates will roll out post-launch, adding new content and in-game events.
Smart Device Support** - An upcoming smart-device application for the Nintendo Switch system will allow players to set play appointments with friends and teammates, as well as voice chat with friends during play sessions.
LAN Play - Up to 10 docked systems – eight players and two spectators – can connect via wired LAN (additional accessories required; sold separately). This feature allows players to create local Private Battle tournaments without the need for an internet connection. Local wireless play is perfect for your regular gaming get-togethers, but LAN Play is where it's at when you want to organize a serious tournament.
Customize – Change your Inkling's style with different weapons, headgear, clothes, and shoes. Gear isn't just aesthetic; it offers different boosts in battles.
amiibo - Compatible with all Splatoon™ series amiibo™ figures. By tapping these amiibo, the figure's character will appear in the game and befriend players. Befriend an amiibo character and they will remember favorited weapons, gear, outfits and option settings.",Splatoon 2: Starter Pack,/games/detail/splatoon-2-starter-pack-switch,"'DLC available', 'Online Play via Nintendo Switch Online'",up to 8 players,e164014a-8007-3ced-a029-afebe5b1daec,na,False,splatoon-2-starter-pack-switch
43,'Available now',"'Action', 'Platformer'",True,'At retail','1+','Mario',"This Starter Pack includes the Super Mario Odyssey™ game for the Nintendo Switch™ system and a Traveler’s Guide book.
Use amazing new abilities—like the power to capture and control objects, animals, and enemies—to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser's wedding plans!
Thanks to heroic, hat-shaped Cappy, Mario's got new moves that'll make you rethink his traditional run-and-jump gameplay—like cap jump, cap throw, and capture. Use captured cohorts such as enemies, objects, and animals to progress through the game and uncover loads of hidden collectibles. And if you feel like playing with a friend, just pass them a Joy-Con™ controller! Player 1 controls Mario while Player 2 controls Cappy. This sandbox-style 3D Mario adventure—the first since 1996's beloved Super Mario 64™ and 2002's Nintendo GameCube™ classic Super Mario Sunshine™—is packed with secrets and surprises, plus exciting new kingdoms to explore.

Explore astonishing new locales like skyscraper-packed New Donk City to your heart's content, and run into familiar friends and foes as you try to save Princess Peach from Bowser's dastardly wedding plans.
Find something interesting? Toss your cap at it and see what happens! There are lots of fun and surprising ways to interact with your surroundings.
Be sure to bring any coins you find to a Crazy Cap store, where you can exchange them for decorative souvenirs for the Odyssey and new outfits for Mario! Some destinations have very exclusive dress codes, after all…
Hand a Joy-Con™ controller to a friend to enjoy simultaneous multiplayer: Player 1 controls Mario while Player 2 controls Mario's new ally Cappy.
Use Snapshot Mode to freeze time while playing the game and take screenshots that you can customize using various options and filters. Screenshots can be shared via social media or uploaded to PCs and smart devices* using all of the Nintendo Switch™ system's built-in screenshot tools.
A special edition Nintendo Switch™ hardware bundle will launch alongside the game. This special edition includes a download code for the full game, red left and right Joy-Con™ controllers, and a Super Mario Odyssey™ themed Nintendo Switch carrying case.",Super Mario Odyssey: Starter Pack,/games/detail/super-mario-odyssey-starter-pack-switch,'Online Play via Nintendo Switch Online',up to 2 players,c7bf8463-d9a8-3139-976c-fe8a59443b3f,na,False,super-mario-odyssey-starter-pack-switch
44,'Available now',"'Adventure', 'Action'",True,'At retail',,'Zelda',"This Starter Pack is perfect for first-time heroes; it contains the game and an Explorer’s Guide with lore and learnings from the Legend of Zelda™: Breath of the Wild game.
Forget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration, and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across vast fields, through forests, and to mountain peaks as you discover what has become of the kingdom of Hyrule In this stunning Open-Air Adventure. Now on Nintendo Switch, your journey is freer and more open than ever. Take your system anywhere, and adventure as Link any way you like.
Features:

Explore the wilds of Hyrule any way you like—anytime, anywhere! - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll make to sustain you on your journey. With Nintendo Switch, you can literally take your journey anywhere.
More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. The tasks you must perform in each Shrine varies, and you'll never expect the challenges you'll face until you enter. Some will involve realistic physics, and some will require you to harness the power of nature, including electricity, wind, fire, and more. Work your way through the traps and devices inside, utilizing your runes and think outside the box to earn special items and other rewards that will help you on your adventure.
Be prepared and properly equipped – With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster or stealthier.
Battling enemies requires strategy – The world is inhabited with enemies of all shapes and sizes. Each one has its own attack method and weaponry, so you must think quickly and develop the right strategies to defeat them.
amiibo compatibility – The Wolf Link amiibo from Twilight Princess HD, the Zelda 30th Anniversary series amiibo, and The Legend of Zelda: Breath of the Wild series amiibo are all compatible with this game. Tap the Wolf Link amiibo (sold separately) to make Wolf Link appear in the game. Wolf Link will attack enemies on his own and help you find items you’re searching for. Tap a Zelda 30th Anniversary series amiibo to receive helpful in-game items or even a treasure chest!",The Legend of Zelda: Breath of the Wild: Starter Pack,/games/detail/the-legend-of-zelda-breath-of-the-wild-starter-pack-switch,"'DLC available', 'Online Play via Nintendo Switch Online'",1 player,838d3bab-5d57-36f0-b2eb-de05d3a540dd,na,False,the-legend-of-zelda-breath-of-the-wild-starter-pack-switch
45,'Available now',"'Action', 'Role-Playing'",True,,,,"Get ready to start playing on 9/27. Release is planned for the following countries/regions: Japan, Taiwan, Hong Kong, Macau, and United States.
An action RPG forged by humans and dragons
Dragalia Lost is a swipe-controlled action RPG about the bonds shared between humans and dragons. Conquer your enemies using an array of powerful attacks and special skills and even by transforming into a dragon yourself!
A tale of heroes, legends, and allies, together
Over 60 voiced characters are ready and waiting to aid your quest!
Music by DAOKO
Dragalia Lost features music by the Japanese artist DAOKO. Her captivating musical score enhances the upbeat gaming experience!",Dragalia Lost,/games/detail/dragalia-lost-ios,,1 player,09926a0a-7ef9-3c3f-814a-2801cd533e7c,na,True,dragalia-lost-ios
46,'Available now','Role-Playing',True,'At retail',,,"Guide a group of legendary warriors on a journey through the tragic history that doomed a kingdom and drove a hero down a dark path 500 years before the events of the Xenoblade Chronicles™ 2 game. Defend yourself from Malos and his forces using all the fury of this refined battle system, allowing you to fight as both the artificial lifeforms known as Blades and their masters, the Drivers.

Does not include the main Xenoblade Chronicles 2 game.
Both the retail and digital editions contain a download code for packs 1-4 of the Xenoblade Chronicles 2 Expansion Pass. Expansion Pass only playable with the main Xenoblade Chronicles 2 game (sold separately).",Xenoblade Chronicles 2: Torna ~ The Golden Country,/games/detail/xenoblade-chronicles-2-torna-the-golden-country-switch,'Online Play via Nintendo Switch Online',1 player,f9203e2c-7cc7-3a33-97af-9a6a4d9c2a26,na,False,xenoblade-chronicles-2-torna-the-golden-country-switch
47,'Available now',"'Strategy', 'Party', 'Communication', 'Simulation'",True,"'At retail', 'On Nintendo.com'","'3+', '2+', '1+'",,"Buddy up or go it alone as you cook up a storm, chopping, steaming and frying your way through dynamic and outright crazy levels. Now with online multiplayer for up to four chefs, there is no such thing as too many cooks and the steaks have never been higher as you prepare to save the Onion Kingdom... Again.

Online Multiplayer
New themes, chefs, recipes &amp; kitchens
Chaotic couch co-op (for up to four players)
Versus mode
Arcade mode",Overcooked! 2,/games/detail/overcooked-2-switch,"'DLC available', 'Online Play via Nintendo Switch Online', 'Deals'",up to 4 players,85d4db29-0a15-3924-a43b-7302d15d9f5f,na,False,overcooked-2-switch
48,'Available now',"'Puzzle', 'Strategy'",True,"'At retail', 'On Nintendo.com'",'1+','Mario',"As of February 13th, 2019, you can purchase the Captain Toad: Treasure Tracker - Special Episode DLC to continue your journey with eighteen new challenges, including five brand-new courses. Purchase and download this content before March 14th for early access to one of the courses! The remainder of the DLC will be available on March 14th. Naturally, you can play all of the courses with a friend or alone. Either way, you’ll dodge dangers and track treasures across many trap-filled miniature worlds; some are even based on the Super Mario Odyssey™ game!
Captain Toad stars in his own puzzling quest on the Nintendo Switch™ system! Our stubby hero must dodge dangers and track treasures across many trap-filled courses. Survive smoldering volcanoes, hazardous steam engines, haunted houses, and even new courses based on the Super Mario Odyssey™ game! Luckily, a second player can join in by tossing turnips at enemies.
Play anytime, anywhere, and anyway you want—even in two-player mode using a pair of Joy-Con™ controllers on one Nintendo Switch system—in TV mode or Tabletop mode. You could also play alone in handheld mode! No matter what, explore each puzzling course for treasure, like hidden Super Gems and Power Stars. As you reclaim the treasure stolen by the monstrous, greedy bird, Wingo, you’ll eventually be able to play as Toadette! These tiny heroes must waddle, hide, pluck, chuck, and power-up through enemy-infested locales like towers, wild-west shanties, and Goomba waterparks—all bursting with secrets. Aim your head-mounted flashlight at adventure!",Captain Toad: Treasure Tracker,/games/detail/captain-toad-treasure-tracker-switch,"'DLC available', 'Demo available', 'Online Play via Nintendo Switch Online'",up to 2 players,cde66ef4-21f9-3b5b-9536-cd4c3082e109,na,False,captain-toad-treasure-tracker-switch
49,'Available now',"'First-Person', 'Action', 'Adventure'",True,"'At retail', 'On Nintendo.com'",,,"ATTENTION: a microSD card (sold separately) with free storage space of minimum 23GB is required to download this game.
Fight through post-nuclear Manhattan, occupied Roswell, New Mexico, and the embattled bayous and boulevards of New Orleans as you liberate the American people from the Nazis.
As BJ Blazkowicz, experience an unforgettable action-packed story brought to life by extraordinary characters. Reunite with your friends and fellow freedom fighters as you take on the evil Frau Engel and her Nazi army. Wage the second American Revolution your way – at home or on the go. And, for the perfect blend of immersion and accuracy, utilize the Nintendo Switch’s unique motion controls to stop the Nazi threat.",Wolfenstein II: The New Colossus,/games/detail/wolfenstein-ii-the-new-colossus-switch,,1 player,306118ad-a89a-3c9f-9812-710b34e148ba,na,False,wolfenstein-ii-the-new-colossus-switch
50,'Available now','Sports',True,"'At retail', 'On Nintendo.com'","'3+', '2+', '1+'",'Mario',"Unleash an arsenal of shots and strategies in all-out tennis battles with friends, family, and fan-favorite Mushroom Kingdom characters. Whether you play locally,* online,** or using simple motion controls, intense rallies await! In Adventure mode, experience a new favor of tennis gameplay, with a variety of missions, boss battles and more.
Complete missions and boss battles in Adventure mode while mastering the controls. Test your hard-earned skills in singles or doubles with up to 4 players in local* or online** multiplayer, not to mention Tournament Mode, which lets you challenge the CPU. Store up energy and use it to pull off amazing feats: move so fast the world slows down around you or aim in first-person to send the ball crashing down! Your rivals may attempt to block you, but if they fail, their racket will take damage—and break after three hits. Fully charge your energy to launch the ball with enough force to KO your opponent!

Rally against other players in singles or doubles as one of 15+ Mushroom Kingdom characters
Serve up everything from basic shots to trick shots to split-second blocks
Use energy to leap after the ball, slow down time, aim in first-person, break rackets, and KO opponents!
Play locally,* online,** or swing your Joy-Con™ controller like a real racket in Swing Mode
Take on CPU opponents in the Mushroom Cup, Flower Cup, or Star Cup in Tournament Mode
Adventure mode offers a new flavor of tennis gameplay, with a variety of missions, boss battles and more.",Mario Tennis Aces,/games/detail/mario-tennis-aces-switch,"'Online Play via Nintendo Switch Online', 'Nintendo Switch Game Voucher'",up to 4 players,49ede443-7c50-3ee9-b19e-19315701e2e1,na,False,mario-tennis-aces-switch
51,'Available now',"'Action', 'Strategy', 'Other'",True,,"'4+', '3+', '2+', '1+'",,"Fortnite Battle Pass Season 10 is here!
Jump in now on your Nintendo Switch system and start playing. With every new season comes new locations, new gameplay items, a new Battle Pass and more!


Jump in to be the last one standing in the free 100-player Battle Royale. Build huge forts. Outwit your opponents. Earn your Victory. Squad up together online with friends in the same room or around the world!

BUILD &amp; DESTROY - Shape the battlefield by building your own cover. Opponent hiding behind a wall? Take out their cover to get the edge.
GEAR UP - Board the battle bus and drop in on your favorite zone. Gather resources, collect gear, and battle your opponents!
SQUAD UP WITH FRIENDS - Team up online with your friends around the world or in the same room!
WEEKLY UPDATES &amp; EVENTS - Updates constantly fuel the fun with new gameplay modes, outfits, weapons and items.

Powered by Unreal Engine 4.",Fortnite,/games/detail/fortnite-switch,,up to 99 players,812d6c7f-f9d3-387e-bc2e-ed3f4d544d74,na,True,fortnite-switch
